date,gross_return,commission_cost,slippage_cost,borrow_cost,net_return,turnover,gross_exposure,full_gross_exposure,cap_binding,n_long,n_short
2013-03-28,0.0029743787943952277,0.0001,0.0003,3.9745290162423257e-05,0.002534633504232805,2.0,1.0,True,True,22,22
2013-04-01,-0.00045585513549127057,9.999999999999999e-05,0.0002999999999999999,2.5821915498407388e-05,-0.000881677050989678,1.9999999999999998,0.9999999999999999,True,True,21,21
2013-04-02,-0.000119614333109076,9.999999999999998e-05,0.0002999999999999999,3.6158551966741616e-05,-0.0005557728850758176,1.9999999999999996,0.9999999999999998,True,True,21,21
2013-04-03,0.001637341087063043,0.0001,0.0003,2.7210884353741498e-05,0.0012101302027093016,2.0,1.0,True,True,21,21
2013-04-04,-0.005036752426557164,9.999999999999998e-05,0.00029999999999999987,3.380858179079475e-05,-0.005470561008347959,1.9999999999999993,0.9999999999999997,True,True,21,21
2013-04-05,0.003162434603037512,0.0001,0.0003,1.593752773055661e-05,0.0027464970753069556,2.0,1.0,True,True,22,22
2013-04-08,0.002291826511588701,9.999999999999998e-05,0.0002999999999999999,3.457129517347832e-05,0.001857255216415223,1.9999999999999996,0.9999999999999998,True,True,21,21
2013-04-09,0.00047017886543009816,9.999999999999998e-05,0.0002999999999999999,2.2270637722234858e-05,4.790822770786339e-05,1.9999999999999996,0.9999999999999998,True,True,21,21
2013-04-10,0.004148885921649382,9.999999999999998e-05,0.0002999999999999999,3.4000689218767134e-05,0.003714885232430615,1.9999999999999996,0.9999999999999998,True,True,21,21
2013-04-11,-0.0020007973317636863,0.0001,0.0003,3.8096153194377996e-05,-0.002438893484958064,2.0,1.0,True,True,21,21
2013-04-12,-0.0027866342090618968,0.0001,0.0003,2.7987874058944446e-05,-0.003214622083120841,2.0,1.0,True,True,21,21
2013-04-15,0.0030829638748886548,0.0001,0.0003,2.8399916920922344e-05,0.002654563957967733,2.0,1.0,True,True,21,21
2013-04-16,-0.00370200781818142,9.999999999999999e-05,0.0002999999999999999,3.449110792994397e-05,-0.0041364989261113635,1.9999999999999998,0.9999999999999999,True,True,20,20
2013-04-17,0.00027002089795749823,0.0001,0.0003,3.9443412921877e-05,-0.00016942251496437872,2.0,1.0,True,True,21,21
2013-04-18,0.0010461415299837262,0.0001,0.0003,4.822566330317995e-05,0.0005979158666805462,2.0,1.0,True,True,21,21
2013-04-19,0.002212928776835406,9.999999999999999e-05,0.0002999999999999999,4.665115051035154e-05,0.0017662776263250549,1.9999999999999998,0.9999999999999999,True,True,21,21
2013-04-22,-0.00011325392650288224,9.999999999999996e-05,0.00029999999999999987,2.4304200992421155e-05,-0.0005375581274953032,1.9999999999999991,0.9999999999999996,True,True,20,20
2013-04-23,0.006115529788022143,9.999999999999998e-05,0.00029999999999999987,5.0039186848510324e-05,0.005665490601173632,1.9999999999999993,0.9999999999999997,True,True,19,19
2013-04-24,0.005618846024232192,9.999999999999998e-05,0.0002999999999999999,4.084879113342569e-05,0.005177997233098766,1.9999999999999996,0.9999999999999998,True,True,19,19
2013-04-25,-0.0003644332118034495,0.0001,0.0003,4.050967031241224e-05,-0.0008049428821158617,2.0,1.0,True,True,19,19
2013-04-26,0.004074533589931717,9.999999999999999e-05,0.0002999999999999999,3.794361302330134e-05,0.0036365899769084157,1.9999999999999998,0.9999999999999999,True,True,21,21
2013-04-29,-0.00023335618575184933,0.0001,0.0003,2.6984126984126977e-05,-0.0006603403127359763,2.0,1.0,True,True,20,20
2013-04-30,0.00031393256793238455,0.00010000000000000003,0.00030000000000000003,2.8174603174603175e-05,-0.0001142420352422187,2.0000000000000004,1.0000000000000002,True,True,20,20
2013-05-01,0.002116525001787833,0.00010000000000000003,0.00030000000000000003,4.9737354145951885e-05,0.0016667876476418814,2.0000000000000004,1.0000000000000002,True,True,20,20
2013-05-02,0.0034431581601147513,0.0001,0.0003,4.952510883209154e-05,0.00299363305128266,2.0,1.0,True,True,20,20
2013-05-03,0.004639226765564946,9.999999999999998e-05,0.00029999999999999987,5.065270253509443e-05,0.004188574063029852,1.9999999999999993,0.9999999999999997,True,True,21,21
2013-05-06,0.0008159040593628899,9.999999999999999e-05,0.0002999999999999999,4.150190749293853e-05,0.0003744021518699514,1.9999999999999998,0.9999999999999999,True,True,21,21
2013-05-07,0.002356344161284591,9.999999999999998e-05,0.00029999999999999987,3.373054022843158e-05,0.0019226136210561597,1.9999999999999993,0.9999999999999997,True,True,21,21
2013-05-08,-0.00042345003711865984,0.0001,0.0003,1.6641789002521977e-05,-0.0008400918261211818,2.0,1.0,True,True,21,21
2013-05-09,0.001084400749145459,0.0001,0.0003,2.6115055255536407e-05,0.0006582856938899225,2.0,1.0,True,True,22,22
2013-05-10,-0.0005673759504968503,9.999999999999998e-05,0.0002999999999999999,1.6594516594516602e-05,-0.0009839704670913667,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-05-13,0.002119006325707101,9.999999999999998e-05,0.0002999999999999999,2.8716815115919885e-05,0.0016902895105911815,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-05-14,0.001957829850232588,0.0001,0.0003,2.245727429945879e-05,0.001535372575933129,2.0,1.0,True,True,22,22
2013-05-15,0.004085783706366256,9.999999999999998e-05,0.0002999999999999999,2.5628984558158135e-05,0.0036601547218080978,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-05-16,0.0021097157232041713,0.0001,0.0003,2.3542549659466545e-05,0.001686173173544705,2.0,1.0,True,True,22,22
2013-05-17,-0.000536193082552463,0.0001,0.0003,2.5098517708500418e-05,-0.0009612916002609634,2.0,1.0,True,True,22,22
2013-05-20,-0.0009870238411222058,9.999999999999998e-05,0.0002999999999999999,3.1746031746031745e-05,-0.0014187698728682376,1.9999999999999996,0.9999999999999998,True,True,22,22
2013-05-21,0.0009900090900750373,0.0001,0.0003,1.4347475770701554e-05,0.0005756616143043358,2.0,1.0,True,True,22,22
