year,strategy_name,AUM,annual_return,annual_vol,annual_sharpe,max_drawdown,IC_mean,average_gross_exposure_used
2010,final_expanding_window,1000000000.0,-0.02684449289937907,0.008764089374845269,-3.1003396649408286,-0.02711198069339449,-0.03483020437657628,0.10748373820693108
2010,previous_champion_4y_rolling,1000000000.0,-0.02684449289937907,0.008764089374845269,-3.1003396649408286,-0.02711198069339449,,0.10748373820693108
2011,final_expanding_window,1000000000.0,0.05533705449254178,0.016625158283279037,3.248293438968743,-0.0064707649247971455,0.06222093466901521,0.1747918630238945
2011,previous_champion_4y_rolling,1000000000.0,0.05533705449254178,0.016625158283279037,3.248293438968743,-0.0064707649247971455,,0.1747918630238945
2012,final_expanding_window,1000000000.0,0.01623039493264611,0.00701374466194321,2.2990715536690054,-0.0042403443559392295,0.04673803526148536,0.1426177236166625
2012,previous_champion_4y_rolling,1000000000.0,0.01623039493264611,0.00701374466194321,2.2990715536690054,-0.0042403443559392295,,0.1426177236166625
2013,final_expanding_window,1000000000.0,0.014637676385892195,0.006143525995411647,2.3684741536008453,-0.003051964964354781,0.07220218303285028,0.1636710738488067
2013,previous_champion_4y_rolling,1000000000.0,0.014637676385892195,0.006143525995411647,2.3684741536008453,-0.003051964964354781,,0.1636710738488067
2014,final_expanding_window,1000000000.0,0.010642919824966901,0.011241423217344318,0.947374877063048,-0.01095047361253454,0.042272319753262136,0.21516823239225355
2014,previous_champion_4y_rolling,1000000000.0,0.010642919824966901,0.011241423217344318,0.947374877063048,-0.01095047361253454,,0.21516823239225355
2015,final_expanding_window,1000000000.0,0.011945130690121486,0.006815346048366585,1.7457299151450207,-0.002903740892886586,0.03378486949422417,0.16700728090773057
2015,previous_champion_4y_rolling,1000000000.0,0.0033620813634507307,0.005933807849846878,0.5686055935485428,-0.004773501508007705,,0.14685322877464682
2016,final_expanding_window,1000000000.0,0.008351215445405291,0.0058165742849110216,1.4327208419643203,-0.0038437504542711,0.046007233212398246,0.1187249377647144
2016,previous_champion_4y_rolling,1000000000.0,0.0029014441936983104,0.004931499152712892,0.5899578802661903,-0.004589375159905984,,0.09601211890749552
2017,final_expanding_window,1000000000.0,0.004917990722339338,0.005562465337842519,0.8847498410253788,-0.0037672829183339474,0.031339328090615945,0.15575237911177361
2017,previous_champion_4y_rolling,1000000000.0,-0.001052547357075051,0.003447631510652196,-0.3037390067189962,-0.003938926456757974,,0.10720535914539098
2018,final_expanding_window,1000000000.0,0.005175869312555648,0.01247451919765666,0.42005799898753493,-0.011629117593486615,0.020311181024972234,0.22880895114007807
2018,previous_champion_4y_rolling,1000000000.0,0.008736696050524628,0.010022236479070445,0.8729443335309662,-0.006649612119210557,,0.19438839160825072
2019,final_expanding_window,1000000000.0,0.0631573228714597,0.019365428823376264,3.1724937903913375,-0.0055729304555445225,0.032270639620334426,0.24791115656107698
2019,previous_champion_4y_rolling,1000000000.0,0.031418225972662306,0.017931094872315055,1.734214883971288,-0.00616365127341767,,0.2652247188179307
2020,final_expanding_window,1000000000.0,0.04028452931830118,0.045262850272347284,0.8952075348695027,-0.030645904960062365,0.01829914044520242,0.30710226805612423
2020,previous_champion_4y_rolling,1000000000.0,-0.05523312852835516,0.04711102194952072,-1.182313352321935,-0.06565129743891496,,0.31327006855997186
2021,final_expanding_window,1000000000.0,0.12048863728210546,0.0387592820758021,2.9550855907199574,-0.027662951008764036,-0.010716640878976119,0.41507080235993465
2021,previous_champion_4y_rolling,1000000000.0,0.042043343099964714,0.024081811979383135,1.7222644661585438,-0.023843577670613403,,0.23460635939119484
2022,final_expanding_window,1000000000.0,0.1958981922396401,0.054941511494299454,3.2846291770722034,-0.023556435162986444,0.03967990907991929,0.4849771997231186
2022,previous_champion_4y_rolling,1000000000.0,0.1352353441323284,0.03489281008355983,3.6533791921175944,-0.010244974538125784,,0.33504685238463094
2023,final_expanding_window,1000000000.0,0.06224030695804239,0.03803645470137318,1.6065059941571032,-0.022193787195187054,0.026990816104150564,0.40567703901323926
2023,previous_champion_4y_rolling,1000000000.0,0.02523799540860905,0.036895171898359544,0.6938899605873029,-0.02719494564238023,,0.3572454102523211
2024,final_expanding_window,1000000000.0,-0.034676758228299076,0.0387108522329729,-0.8923668522598481,-0.053295636393085655,0.007628744960772721,0.4677338793443281
2024,previous_champion_4y_rolling,1000000000.0,-0.1371944092014965,0.06234442227226473,-2.334994043467812,-0.14385595291718656,,0.5695908135101675
