date,ic,n
2018-06-18,-0.3092003168967923,974
2018-06-19,-0.027617555348278852,961
2018-06-20,-0.055383364046229115,960
2018-06-21,0.11147081187410633,962
2018-06-22,-0.34806166699158825,968
2018-06-25,0.20975167320266527,982
2018-06-26,0.34116041433044275,986
2018-06-27,-0.11823936255934875,983
2018-06-28,0.39912466338890407,985
2018-06-29,-0.3420547827598029,984
2018-07-02,0.13263691103793326,987
2018-07-03,0.28657769218560175,982
2018-07-05,-0.1825358638271967,979
2018-07-06,0.29479359244455394,978
2018-07-09,0.1594390863682354,977
2018-07-10,-0.16484891861971804,977
2018-07-11,0.13625537195498444,974
2018-07-12,-0.09828328619633231,970
2018-07-13,-0.03768441085517828,971
2018-07-16,-0.16412567371386874,958
2018-07-17,0.11921498679032168,921
2018-07-18,-0.100846035984818,903
2018-07-19,0.02934045234693605,910
2018-07-20,0.010146543991390776,907
2018-07-23,0.14265056218201475,859
2018-07-24,0.051541853950727815,761
2018-07-25,-0.2482438648201137,739
2018-07-26,0.0710805791676317,791
2018-07-27,-0.012527435842192387,849
2018-07-30,0.10917891664170529,853
2018-07-31,0.09092158089106565,777
2018-08-01,-0.19958357285001505,794
2018-08-02,0.1932544710532341,841
2018-08-03,-0.06088095071097025,897
2018-08-06,0.2791533138474146,899
2018-08-07,-0.012566010808746335,879
2018-08-08,0.1046313618917197,902
2018-08-09,-0.008090865648760975,936
2018-08-10,0.11025070980579812,964
2018-08-13,0.04043876967159518,970
2018-08-14,-0.3395289875873307,967
2018-08-15,0.12142074988083396,958
2018-08-16,-0.021104966450897128,960
2018-08-17,0.1071612705039532,962
2018-08-20,0.19712811080087592,950
2018-08-21,0.02913713562724305,939
2018-08-22,-0.04394953676396975,941
2018-08-23,-0.0515093836470169,942
2018-08-24,0.2774026326516823,948
2018-08-27,0.1984291572946854,945
2018-08-28,-0.01738207588236914,942
2018-08-29,-0.20522812055541548,937
2018-08-30,-0.07282228947876784,945
2018-08-31,0.024660666278759916,951
2018-09-04,-0.04749803608189743,947
2018-09-05,0.009558775804071894,942
2018-09-06,-0.12732902326862416,940
2018-09-07,0.10113447282023474,944
2018-09-10,-0.10328430840254797,939
2018-09-11,-0.020358286966919374,942
2018-09-12,0.006374208383761421,935
2018-09-13,0.18183171400359927,936
2018-09-14,-0.10420996444062451,933
2018-09-17,0.10095710332377396,937
2018-09-18,0.0611350299264341,938
2018-09-19,0.20351426316147483,941
2018-09-20,0.274120917296581,938
